Seed,Scenario,MeanComplexity,SDComplexity,MeanIntervention,SDIntervention,MeanCorrection,SDCorrection,TriggerRate_percent
1,A,0.205,0.024,6.6,1.4,0.072,0.01,0.0
1,B,0.373,0.019,12.69,1.49,0.116,0.011,0.0
1,C,0.553,0.023,21.75,1.62,0.164,0.009,0.0
2,A,0.218,0.025,8.86,1.6,0.065,0.008,0.0
2,B,0.376,0.025,16.7,1.77,0.113,0.01,0.0
2,C,0.569,0.019,23.65,1.63,0.171,0.012,3.3
3,A,0.213,0.013,7.92,1.58,0.067,0.012,0.0
3,B,0.373,0.016,14.09,1.69,0.106,0.009,0.0
3,C,0.547,0.016,23.48,1.76,0.171,0.014,0.0
4,A,0.23,0.028,5.33,1.23,0.065,0.007,0.0
4,B,0.361,0.027,11.52,1.52,0.113,0.011,0.0
4,C,0.567,0.028,21.53,1.36,0.17,0.012,0.0
5,A,0.203,0.021,9.28,1.11,0.075,0.009,0.0
5,B,0.38,0.017,13.55,1.88,0.114,0.01,0.0
5,C,0.552,0.017,21.73,1.73,0.168,0.012,0.0
6,A,0.2,0.021,7.08,1.9,0.066,0.01,0.0
6,B,0.364,0.02,13.58,1.7,0.11,0.007,0.0
6,C,0.552,0.019,21.75,1.66,0.16,0.014,0.0
7,A,0.224,0.013,9.96,1.52,0.076,0.011,0.0
7,B,0.384,0.016,16.59,1.83,0.121,0.011,0.0
7,C,0.581,0.018,24.49,1.96,0.17,0.009,10.0
